[ 2025-10-27 19:29:59,337 ] 161 numexpr.utils - INFO - NumExpr defaulting to 12 threads.
[ 2025-10-27 19:30:04,447 ] 19 root - INFO - Initiated the data ingestion component
[ 2025-10-27 19:30:06,777 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-10-27 19:30:06,777 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-10-27 19:30:06,778 ] 75 root - INFO - Exporting train and test file path.
[ 2025-10-27 19:30:06,823 ] 84 root - INFO - Exported train and test file path.
[ 2025-10-27 19:30:06,825 ] 21 root - INFO - Completed the data ingestion component
[ 2025-10-27 19:30:06,829 ] 25 root - INFO - Initiated the data validation component
[ 2025-10-27 19:30:06,879 ] 32 root - INFO - Required number of columns:1
[ 2025-10-27 19:30:06,879 ] 33 root - INFO - Data frame has columns:13
[ 2025-10-27 19:30:06,879 ] 32 root - INFO - Required number of columns:1
[ 2025-10-27 19:30:06,879 ] 33 root - INFO - Data frame has columns:13
[ 2025-10-27 19:30:06,966 ] 29 root - INFO - Initiated the data transformation component
[ 2025-10-27 19:30:06,966 ] 89 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-10-27 19:30:07,033 ] 110 root - INFO - Numeric columns: ['time', 'latitude', 'longitude', 'depth', 'nst', 'gap', 'dmin', 'rms', 'updated']
[ 2025-10-27 19:30:07,033 ] 111 root - INFO - Categorical columns: ['magType', 'net', 'id']
[ 2025-10-27 19:30:07,033 ] 65 root - INFO - Initializing numeric and categorical transformation pipelines
[ 2025-10-27 19:30:18,491 ] 47 root - INFO - Entered the save_object method of MainUtils class
[ 2025-10-27 19:30:18,493 ] 51 root - INFO - Exited the save_object method of MainUtils class
[ 2025-10-27 19:30:18,493 ] 47 root - INFO - Entered the save_object method of MainUtils class
[ 2025-10-27 19:30:18,494 ] 51 root - INFO - Exited the save_object method of MainUtils class
[ 2025-10-27 19:30:18,494 ] 143 root - INFO - Saved transformed train CSV at: Artifacts\10_27_2025_19_29_59\data_transformation\transformed\train.csv
[ 2025-10-27 19:30:18,494 ] 144 root - INFO - Saved transformed test CSV at: Artifacts\10_27_2025_19_29_59\data_transformation\transformed\test.csv
[ 2025-10-27 19:30:18,494 ] 145 root - INFO - Data transformation completed successfully
[ 2025-10-27 19:30:18,517 ] 33 root - INFO - Completed the data transformation component
[ 2025-10-27 19:30:18,518 ] 35 root - INFO - Model Training sstared
